ID,Real_Height,Nom_DegDay_May ,Acc_DegDay,ThermU_Day,Avg_Temp,SolarRadi_Day,Light_Dur_Day,AVG_LightInt_Day,Rain,Wind,RGR,GS_Days,Genotype,Grow_Stg
138,52.6,236,1453,10.3,9.9,1.3,15.1,72.06,0.2,19,3.543%,-5,GT,1
139,54.4,244,1462,8.3,11.5,3.9,16.4,73.19,0,10,3.422%,-4,GT,1
140,56.4,257,1474,12.7,11.5,8.4,16.4,69.18,0.2,29,3.676%,-3,GT,1
141,58.4,265,1482,7.4,13.8,8,16.6,78.49,0,25,3.546%,-2,GT,1
142,59.9,274,1491,9.2,9.4,4.3,16.9,77.72,5.8,25,2.568%,-1,GT,1
143,63.9,297,1514,8.4,12.4,1.2,16.9,85.21,0.3,19,-0.312%,1,G1,2
144,66.1,310,1527,13.2,9.6,6.9,17.2,78.97,1.6,28,3.443%,2,G1,2
145,66.4,320,1537,9.9,14.7,3.7,16.5,84.97,0.3,39,0.454%,3,G1,2
146,68,328,1546,8.5,14.9,6.9,17.4,89.16,0,19,2.410%,4,G1,2
147,70.8,346,1563,17.6,12.0,13.6,16.9,83.36,4.6,19,4.118%,5,G1,2
148,71.4,363,1580,17.3,15.7,4.9,17.1,72.84,0.2,17,0.847%,6,G1,2
149,84.5,462,1680,9.5,10.5,15.5,17.1,94.7,0,13,2.053%,1,G2,2
150,86.4,479,1697,17.1,12.7,5.7,16.8,96.65,0,13,2.249%,2,G2,2
151,86.8,492,1709,12.3,16.2,5,17.4,96.32,0.2,19,0.463%,3,G2,2
152,87.4,498,1715,6.5,14.2,4.7,17.1,93.55,0,16,0.691%,4,G2,2
153,89.1,503,1721,5.2,13.8,1.7,17.4,96.94,1.5,14,1.945%,5,G2,2
154,45,104,1322,6.5,13.9,8,15.9,85.38,0.7,29,7.143%,1,G3,2
155,48.3,117,1334,12.4,9.7,9.7,14.6,81.87,0,16,7.333%,2,G3,2
156,51.7,127,1345,10.7,7.0,0.1,16.1,80.13,0,19,7.039%,3,G3,2
157,53.4,136,1353,8.2,10.6,5.1,15.9,88.68,0,15,3.288%,4,G3,2
158,54.2,142,1359,6.6,13.5,6.4,16.1,83.93,0,15,1.498%,5,G3,2
159,56.5,154,1371,11.5,10.0,6.1,14.6,82.86,2.5,20,4.244%,6,G3,2
160,68.6,346,1563,17.6,12.0,13.6,16.9,83.36,4.6,19,2.541%,1,G4,2
161,69.2,363,1580,17.3,15.7,4.9,17.1,72.84,0.2,17,0.875%,2,G4,2
162,69.3,375,1593,12.3,12.2,13.4,16.9,81.9,0,26,0.145%,3,G4,2
163,70.1,388,1606,13,11.3,13.9,16.6,95.16,0,17,1.154%,4,G4,2
164,71.4,402,1619,13.3,9.2,13.8,16.4,93.81,0,19,1.854%,5,G4,2
165,54.1,288,1506,14.5,9.8,8.1,17.1,76.53,2.2,19,0.371%,1,G5,2
166,57.4,297,1514,8.4,12.4,1.2,16.9,85.21,0.3,19,6.100%,2,G5,2
167,59.4,310,1527,13.2,9.6,6.9,17.2,78.97,1.6,28,3.484%,3,G5,2
168,61,320,1537,9.9,14.7,3.7,16.5,84.97,0.3,39,2.694%,4,G5,2
169,62.5,328,1546,8.5,14.9,6.9,17.4,89.16,0,19,2.459%,5,G5,2
170,62.1,346,1563,17.6,12.0,13.6,16.9,83.36,4.6,19,-0.640%,6,G5,2
171,61.5,288,1506,14.5,9.8,8.1,17.1,76.53,2.2,19,2.671%,1,GT,2
172,63.2,297,1514,8.4,12.4,1.2,16.9,85.21,0.3,19,2.764%,2,GT,2
173,64.8,310,1527,13.2,9.6,6.9,17.2,78.97,1.6,28,2.532%,3,GT,2
174,65.7,320,1537,9.9,14.7,3.7,16.5,84.97,0.3,39,1.389%,4,GT,2
175,67.4,328,1546,8.5,14.9,6.9,17.4,89.16,0,19,2.588%,5,GT,2
176,68.6,346,1563,17.6,12.0,13.6,16.9,83.36,4.6,19,1.780%,6,GT,2
177,69.7,363,1580,17.3,15.7,4.9,17.1,72.84,0.2,17,1.603%,7,GT,2
178,70.7,375,1593,12.3,12.2,13.4,16.9,81.9,0,26,1.435%,8,GT,2
179,72.9,388,1606,13,11.3,13.9,16.6,95.16,0,17,0.552%,1,G1,3
180,74,402,1619,13.3,9.2,13.8,16.4,93.81,0,19,1.509%,2,G1,3
181,74.4,411,1629,9.7,9.4,3.7,17.1,79.18,0,21,0.541%,3,G1,3
182,74.9,418,1635,6.5,11.3,4.9,17.2,91.1,0,18,0.672%,4,G1,3
183,78.7,432,1649,14.2,11.3,15.8,16.9,88.75,0,18,5.073%,5,G1,3
184,81.8,447,1664,14.7,14.2,12.1,16.6,88.63,3.3,14,3.939%,6,G1,3
185,81.8,449,1666,1.7,14.0,0,17.1,91.64,3.7,11,0.000%,7,G1,3
186,86.4,453,1670,4.2,14.2,0.4,17.4,92.28,1,23,5.623%,8,G1,3
187,90.2,514,1732,10.9,12.4,3.9,17.1,99.21,9.5,11,1.235%,1,G2,3
188,91.4,521,1738,6.5,16.0,4.2,17.1,95.72,1.1,19,1.330%,2,G2,3
189,93.2,527,1744,6.2,12.6,2.9,17.4,103.57,4.4,19,1.969%,3,G2,3
190,94,531,1748,3.9,11.9,0.1,17.4,95.26,0,19,0.858%,4,G2,3
191,95.9,549,1767,18.6,13.5,7,17.4,91.28,0,15,2.021%,5,G2,3
192,94.7,563,1781,13.8,16.0,7.7,17.1,96.02,0,13,-1.251%,6,G2,3
193,97.6,576,1794,13,17.7,1.1,17.4,100.08,1.8,17,3.062%,7,G2,3
194,57.9,158,1375,4.5,10.6,2.9,16.1,76.2,8.3,22,2.478%,1,G3,3
195,58.5,166,1384,8.1,10.2,8.2,14.3,73.51,6,24,1.036%,2,G3,3
196,59.2,177,1394,10.8,9.1,7,14.6,76.05,0,15,1.197%,3,G3,3
197,59.6,192,1410,15.4,11.2,11.2,14.9,80.59,0,18,0.676%,4,G3,3
198,60.7,208,1425,15.3,12.8,0.8,16.4,81.92,0,16,1.846%,5,G3,3
199,60.6,212,1429,3.9,12.8,6.5,16.1,83.24,0,17,-0.165%,6,G3,3
200,60.4,226,1443,14.2,10.4,4.6,15.3,71.81,1,15,-0.330%,7,G3,3
201,60.6,236,1453,10.3,9.9,1.3,15.1,72.06,0.2,19,0.331%,8,G3,3
202,61.4,244,1462,8.3,11.5,3.9,16.4,73.19,0,10,1.320%,9,G3,3
203,62.8,257,1474,12.7,11.5,8.4,16.4,69.18,0.2,29,2.280%,10,G3,3
204,65,265,1482,7.4,13.8,8,16.6,78.49,0,25,3.503%,11,G3,3
205,67.6,274,1491,9.2,9.4,4.3,16.9,77.72,5.8,25,4.000%,12,G3,3
206,69.1,288,1506,14.5,9.8,8.1,17.1,76.53,2.2,19,2.219%,13,G3,3
207,69.5,297,1514,8.4,12.4,1.2,16.9,85.21,0.3,19,0.579%,14,G3,3
208,70.4,310,1527,13.2,9.6,6.9,17.2,78.97,1.6,28,1.295%,15,G3,3
209,71.2,320,1537,9.9,14.7,3.7,16.5,84.97,0.3,39,1.136%,16,G3,3
210,73.2,328,1546,8.5,14.9,6.9,17.4,89.16,0,19,2.809%,17,G3,3
211,74.8,346,1563,17.6,12.0,13.6,16.9,83.36,4.6,19,2.186%,18,G3,3
212,75.2,363,1580,17.3,15.7,4.9,17.1,72.84,0.2,17,0.535%,19,G3,3
213,75.7,375,1593,12.3,12.2,13.4,16.9,81.9,0,26,0.665%,20,G3,3
214,73.2,411,1629,9.7,9.4,3.7,17.1,79.18,0,21,2.521%,1,G4,3
215,74.2,418,1635,6.5,11.3,4.9,17.2,91.1,0,18,1.366%,2,G4,3
216,74.5,432,1649,14.2,11.3,15.8,16.9,88.75,0,18,0.404%,3,G4,3
217,77.2,447,1664,14.7,14.2,12.1,16.6,88.63,3.3,14,3.624%,4,G4,3
218,77.8,449,1666,1.7,14.0,0,17.1,91.64,3.7,11,0.777%,5,G4,3
219,79.9,453,1670,4.2,14.2,0.4,17.4,92.28,1,23,2.699%,6,G4,3
220,79.2,462,1680,9.5,10.5,15.5,17.1,94.7,0,13,-0.876%,7,G4,3
221,80,479,1697,17.1,12.7,5.7,16.8,96.65,0,13,1.010%,8,G4,3
222,80.8,492,1709,12.3,16.2,5,17.4,96.32,0.2,19,1.000%,9,G4,3
223,62.7,363,1580,17.3,15.7,4.9,17.1,72.84,0.2,17,0.966%,1,G5,3
224,64.6,375,1593,12.3,12.2,13.4,16.9,81.9,0,26,3.030%,2,G5,3
225,66.3,388,1606,13,11.3,13.9,16.6,95.16,0,17,2.632%,3,G5,3
226,69.8,402,1619,13.3,9.2,13.8,16.4,93.81,0,19,5.279%,4,G5,3
227,72.3,411,1629,9.7,9.4,3.7,17.1,79.18,0,21,3.582%,5,G5,3
228,72.4,418,1635,6.5,11.3,4.9,17.2,91.1,0,18,0.138%,6,G5,3
229,71.9,432,1649,14.2,11.3,15.8,16.9,88.75,0,18,-0.691%,7,G5,3
230,72.4,447,1664,14.7,14.2,12.1,16.6,88.63,3.3,14,0.695%,8,G5,3
231,72.4,388,1606,13,11.3,13.9,16.6,95.16,0,17,2.405%,1,GT,3
232,74.1,402,1619,13.3,9.2,13.8,16.4,93.81,0,19,2.348%,2,GT,3
233,75,411,1629,9.7,9.4,3.7,17.1,79.18,0,21,1.215%,3,GT,3
234,75.5,418,1635,6.5,11.3,4.9,17.2,91.1,0,18,0.667%,4,GT,3
235,76.3,432,1649,14.2,11.3,15.8,16.9,88.75,0,18,1.060%,5,GT,3
236,77.6,447,1664,14.7,14.2,12.1,16.6,88.63,3.3,14,1.704%,6,GT,3
237,78.4,449,1666,1.7,14.0,0,17.1,91.64,3.7,11,1.031%,7,GT,3
238,80.4,453,1670,4.2,14.2,0.4,17.4,92.28,1,23,2.551%,8,GT,3
239,79.9,462,1680,9.5,10.5,15.5,17.1,94.7,0,13,-0.622%,9,GT,3
240,82,479,1697,17.1,12.7,5.7,16.8,96.65,0,13,2.628%,10,GT,3
241,82.1,492,1709,12.3,16.2,5,17.4,96.32,0.2,19,0.122%,11,GT,3
242,85.6,462,1680,9.5,10.5,15.5,17.1,94.7,0,13,-0.926%,1,G1,4
243,88.2,479,1697,17.1,12.7,5.7,16.8,96.65,0,13,3.037%,2,G1,4
244,89.1,492,1709,12.3,16.2,5,17.4,96.32,0.2,19,1.020%,3,G1,4
245,90.9,498,1715,6.5,14.2,4.7,17.1,93.55,0,16,2.020%,4,G1,4
246,93.5,503,1721,5.2,13.8,1.7,17.4,96.94,1.5,14,2.860%,5,G1,4
247,92.9,514,1732,10.9,12.4,3.9,17.1,99.21,9.5,11,-0.642%,6,G1,4
248,95.1,521,1738,6.5,16.0,4.2,17.1,95.72,1.1,19,2.368%,7,G1,4
249,96.2,527,1744,6.2,12.6,2.9,17.4,103.57,4.4,19,1.157%,8,G1,4
250,95.6,531,1748,3.9,11.9,0.1,17.4,95.26,0,19,-0.624%,9,G1,4
251,96,549,1767,18.6,13.5,7,17.4,91.28,0,15,0.418%,10,G1,4
252,94.7,563,1781,13.8,16.0,7.7,17.1,96.02,0,13,-1.354%,11,G1,4
253,95.4,576,1794,13,17.7,1.1,17.4,100.08,1.8,17,0.739%,12,G1,4
254,95.8,588,1805,11.8,16.7,13,17.1,94.08,0.2,18,0.419%,13,G1,4
255,96,598,1815,9.7,15.4,1.7,17.1,94.51,1.2,19,0.209%,14,G1,4
256,94.9,613,1831,15.5,17.1,13.3,17.4,97.31,0,15,-1.146%,15,G1,4
257,96.7,630,1847,16.6,16.9,15.7,17.3,97.11,0,16,1.897%,16,G1,4
258,95.6,648,1866,18.5,21.0,9.5,17.4,96.06,0,22,-1.138%,17,G1,4
259,96.1,660,1877,11.6,21.3,9,17.1,98.17,0,15,0.523%,18,G1,4
260,96.9,673,1890,12.8,15.5,11.5,17.4,91.97,3.1,15,0.832%,19,G1,4
261,95.9,687,1905,14.5,21.7,12,17.1,93.93,0,21,-1.032%,20,G1,4
262,100.4,588,1805,11.8,16.7,13,17.1,94.08,0.2,18,2.869%,1,G2,4
263,102.2,598,1815,9.7,15.4,1.7,17.1,94.51,1.2,19,1.793%,2,G2,4
264,104.2,613,1831,15.5,17.1,13.3,17.4,97.31,0,15,1.957%,3,G2,4
265,104,630,1847,16.6,16.9,15.7,17.3,97.11,0,16,-0.192%,4,G2,4
266,104,648,1866,18.5,21.0,9.5,17.4,96.06,0,22,0.000%,5,G2,4
267,105.2,660,1877,11.6,21.3,9,17.1,98.17,0,15,1.154%,6,G2,4
268,105.5,673,1890,12.8,15.5,11.5,17.4,91.97,3.1,15,0.285%,7,G2,4
269,105.8,687,1905,14.5,21.7,12,17.1,93.93,0,21,0.284%,8,G2,4
270,104.7,699,1916,11.7,16.9,6,16.7,97.89,4.3,22,-1.040%,9,G2,4
271,104.9,711,1929,12.3,16.3,6.7,16.4,98.88,0.7,18,0.191%,10,G2,4
272,106.4,722,1939,10.8,17.0,6.3,16.8,98.88,1.1,22,1.430%,11,G2,4
273,107.4,729,1946,6.5,16.4,1.7,16.2,102.38,7.8,20,0.940%,12,G2,4
274,105.5,740,1957,11.5,13.1,9.6,16.7,101.64,0,15,-1.769%,13,G2,4
275,105.1,759,1976,18.7,16.4,14,16.7,96.53,0,19,-0.379%,14,G2,4
276,105.5,771,1988,12.2,18.3,7.5,16.7,97.42,1.2,16,0.381%,15,G2,4
277,107.4,778,1995,7,18.3,2,16.4,94.39,6.5,18,1.801%,16,G2,4
278,107.4,783,2001,5.4,17.5,0.1,16.4,98.59,0.8,21,0.000%,17,G2,4
279,77.2,388,1606,13,11.3,13.9,16.6,95.16,0,17,1.982%,1,G3,4
280,78.5,402,1619,13.3,9.2,13.8,16.4,93.81,0,19,1.684%,2,G3,4
281,78.1,411,1629,9.7,9.4,3.7,17.1,79.18,0,21,-0.510%,3,G3,4
282,77.1,418,1635,6.5,11.3,4.9,17.2,91.1,0,18,-1.280%,4,G3,4
283,77.9,432,1649,14.2,11.3,15.8,16.9,88.75,0,18,1.038%,5,G3,4
284,77.3,447,1664,14.7,14.2,12.1,16.6,88.63,3.3,14,-0.770%,6,G3,4
285,76.8,449,1666,1.7,14.0,0,17.1,91.64,3.7,11,-0.647%,7,G3,4
286,77.8,453,1670,4.2,14.2,0.4,17.4,92.28,1,23,1.302%,8,G3,4
287,77.1,462,1680,9.5,10.5,15.5,17.1,94.7,0,13,-0.900%,9,G3,4
288,78.9,479,1697,17.1,12.7,5.7,16.8,96.65,0,13,2.335%,10,G3,4
289,76.1,492,1709,12.3,16.2,5,17.4,96.32,0.2,19,-3.549%,11,G3,4
290,78.9,498,1715,6.5,14.2,4.7,17.1,93.55,0,16,3.679%,12,G3,4
291,77.5,503,1721,5.2,13.8,1.7,17.4,96.94,1.5,14,-1.774%,13,G3,4
292,77.3,514,1732,10.9,12.4,3.9,17.1,99.21,9.5,11,-0.258%,14,G3,4
293,77.5,521,1738,6.5,16.0,4.2,17.1,95.72,1.1,19,0.259%,15,G3,4
294,78.4,527,1744,6.2,12.6,2.9,17.4,103.57,4.4,19,1.161%,16,G3,4
295,79,531,1748,3.9,11.9,0.1,17.4,95.26,0,19,0.765%,17,G3,4
296,78.3,549,1767,18.6,13.5,7,17.4,91.28,0,15,-0.886%,18,G3,4
297,78,563,1781,13.8,16.0,7.7,17.1,96.02,0,13,-0.383%,19,G3,4
298,79.1,576,1794,13,17.7,1.1,17.4,100.08,1.8,17,1.410%,20,G3,4
299,81.1,498,1715,6.5,14.2,4.7,17.1,93.55,0,16,0.371%,1,G4,4
300,81.6,503,1721,5.2,13.8,1.7,17.4,96.94,1.5,14,0.617%,2,G4,4
301,81.9,514,1732,10.9,12.4,3.9,17.1,99.21,9.5,11,0.368%,3,G4,4
302,82.8,521,1738,6.5,16.0,4.2,17.1,95.72,1.1,19,1.099%,4,G4,4
303,84.3,527,1744,6.2,12.6,2.9,17.4,103.57,4.4,19,1.812%,5,G4,4
304,83.7,531,1748,3.9,11.9,0.1,17.4,95.26,0,19,-0.712%,6,G4,4
305,85.6,549,1767,18.6,13.5,7,17.4,91.28,0,15,2.270%,7,G4,4
306,85.8,563,1781,13.8,16.0,7.7,17.1,96.02,0,13,0.234%,8,G4,4
307,85.1,576,1794,13,17.7,1.1,17.4,100.08,1.8,17,-0.816%,9,G4,4
308,86.2,588,1805,11.8,16.7,13,17.1,94.08,0.2,18,1.293%,10,G4,4
309,86.1,598,1815,9.7,15.4,1.7,17.1,94.51,1.2,19,-0.116%,11,G4,4
310,88.5,613,1831,15.5,17.1,13.3,17.4,97.31,0,15,2.787%,12,G4,4
311,90.1,630,1847,16.6,16.9,15.7,17.3,97.11,0,16,1.808%,13,G4,4
312,88.7,648,1866,18.5,21.0,9.5,17.4,96.06,0,22,-1.554%,14,G4,4
313,89.1,660,1877,11.6,21.3,9,17.1,98.17,0,15,0.451%,15,G4,4
314,90.6,673,1890,12.8,15.5,11.5,17.4,91.97,3.1,15,1.684%,16,G4,4
315,90.3,687,1905,14.5,21.7,12,17.1,93.93,0,21,-0.331%,17,G4,4
316,74.5,449,1666,1.7,14.0,0,17.1,91.64,3.7,11,2.901%,1,G5,4
317,75.1,453,1670,4.2,14.2,0.4,17.4,92.28,1,23,0.805%,2,G5,4
318,73.3,462,1680,9.5,10.5,15.5,17.1,94.7,0,13,-2.397%,3,G5,4
319,76.3,479,1697,17.1,12.7,5.7,16.8,96.65,0,13,4.093%,4,G5,4
320,77.8,492,1709,12.3,16.2,5,17.4,96.32,0.2,19,1.966%,5,G5,4
321,77.2,498,1715,6.5,14.2,4.7,17.1,93.55,0,16,-0.771%,6,G5,4
322,77.5,503,1721,5.2,13.8,1.7,17.4,96.94,1.5,14,0.389%,7,G5,4
323,77.8,514,1732,10.9,12.4,3.9,17.1,99.21,9.5,11,0.387%,8,G5,4
324,76.5,521,1738,6.5,16.0,4.2,17.1,95.72,1.1,19,-1.671%,9,G5,4
325,77.5,527,1744,6.2,12.6,2.9,17.4,103.57,4.4,19,1.307%,10,G5,4
326,77.3,531,1748,3.9,11.9,0.1,17.4,95.26,0,19,-0.258%,11,G5,4
327,77.7,549,1767,18.6,13.5,7,17.4,91.28,0,15,0.517%,12,G5,4
328,77.7,563,1781,13.8,16.0,7.7,17.1,96.02,0,13,0.000%,13,G5,4
329,77.7,576,1794,13,17.7,1.1,17.4,100.08,1.8,17,0.000%,14,G5,4
330,76,588,1805,11.8,16.7,13,17.1,94.08,0.2,18,-2.188%,15,G5,4
331,76.8,598,1815,9.7,15.4,1.7,17.1,94.51,1.2,19,1.053%,16,G5,4
332,83.1,498,1715,6.5,14.2,4.7,17.1,93.55,0,16,1.218%,1,GT,4
